id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-04-109836-2,Good,Anthony,m,Stars,8,12,11
978-0-207-48341-7,Williams,Ellen,f,Stars,9,10,12
978-1-01-383693-0,Le,Raymond,m,Hawks,10,11,8
978-1-346-50988-4,Griffin,Amanda,f,Hawks,10,6,7
978-1-129-91351-8,Russell,Timothy,m,Hawks,10,8,11
978-0-05-163732-5,Gonzalez,Wendy,f,Hawks,7,9,12
978-1-76673-338-8,Wilson,Angel,m,Hawks,8,7,9
978-1-368-05813-1,Flowers,Wesley,m,Wolves,6,6,12
978-0-7015-0932-3,Burns,Anthony,m,Hawks,7,12,6
978-0-86135-938-7,Lee,Jennifer,f,Stars,12,7,8
978-0-545-74402-7,Cabrera,Michael,m,Hawks,7,11,6
978-1-310-32233-4,Lopez,Tyrone,m,Wolves,6,12,9
978-0-85733-929-4,Vega,William,m,Wolves,10,10,8
978-0-8039-1976-1,Hernandez,Julian,m,Hawks,7,9,7
978-0-278-79569-3,Fowler,Donald,m,Stars,9,10,6
978-1-251-65343-6,Melton,Megan,f,Stars,10,11,9
978-1-4051-4101-7,Howard,Paula,f,Hawks,7,6,11
978-1-5182-8423-6,Anderson,Edward,m,Hawks,7,8,10
978-0-86217-201-5,Williams,Terry,m,Wolves,10,8,7
978-1-04-045033-8,Holmes,Kristine,f,Hawks,9,10,6
978-1-9732-3414-2,Gonzalez,Donald,m,Stars,9,9,7
978-0-7211-3093-4,Fowler,Christopher,m,Hawks,7,12,8
978-1-58972-774-8,Cook,Joshua,m,Hawks,8,9,7
978-1-960861-23-8,Anderson,James,m,Wolves,10,7,6
978-1-4475-8520-6,Green,Lauren,f,Hawks,10,11,9
978-1-167-57606-5,Grant,Emma,f,Stars,10,9,7
978-0-914719-60-1,Scott,Joshua,m,Hawks,9,6,9
978-1-886157-85-9,Jordan,Amanda,f,Hawks,10,9,10
978-1-105-76273-4,Noble,Cheryl,f,Hawks,10,10,8
978-1-880914-58-8,Allen,Rachel,f,Stars,8,7,10
