id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-07-542027-9,Barton,Victoria,f,Pathfinders,9,10,8
978-0-467-50217-0,Brown,Anthony,m,Trailblazers,9,7,7
978-0-350-13730-4,Young,Charles,m,Pathfinders,6,7,8
978-1-63587-440-2,Payne,Martin,m,Trailblazers,9,10,8
978-1-964747-41-5,Clay,Kristin,f,Trailblazers,9,9,6
978-0-9861546-5-2,Shepard,William,m,Eagles,9,8,8
978-0-9586558-0-4,Shaw,Jeffrey,m,Trailblazers,10,12,12
978-1-365-83331-1,Smith,Peter,m,Eagles,7,7,7
978-0-17-382816-8,Brown,Kevin,m,Trailblazers,10,10,7
978-0-87114-439-3,Gamble,Jamie,f,Trailblazers,9,9,6
978-0-486-25186-8,Perez,Shawn,m,Eagles,8,12,9
978-0-595-63868-0,Gallagher,Sara,f,Trailblazers,9,11,10
978-1-58454-818-8,Terry,Darryl,m,Trailblazers,9,7,6
978-1-55180-205-3,Lopez,Katherine,f,Pathfinders,11,12,10
978-0-7069-0927-2,Lambert,Gerald,m,Trailblazers,7,6,9
978-1-888391-10-7,Long,Brandon,m,Trailblazers,9,12,6
978-1-67700-597-0,Price,Michael,m,Eagles,10,12,8
978-1-82371-968-3,Martin,Katelyn,f,Eagles,9,10,8
978-1-5322-3152-0,Garcia,Stanley,m,Pathfinders,9,11,7
978-1-308-32685-6,Kidd,Tyler,m,Trailblazers,12,6,9
978-0-401-38259-2,Scott,Emily,f,Pathfinders,8,6,6
978-1-969887-41-3,Newton,Shelby,f,Pathfinders,10,9,12
978-0-11-068862-6,Brown,Andrea,f,Eagles,10,12,12
978-0-462-49934-5,Andrade,Denise,f,Trailblazers,7,9,7
978-0-399-19554-9,Weeks,Michael,m,Pathfinders,8,9,7
978-0-624-35246-4,Wright,Ashley,f,Trailblazers,10,8,6
978-1-72736-797-3,Lindsey,Madison,f,Trailblazers,9,9,10
978-0-373-32999-1,Baker,Roy,m,Pathfinders,12,7,9
978-0-85756-121-3,Perez,Jennifer,f,Eagles,11,12,7
978-0-668-46691-2,Allen,Travis,m,Trailblazers,8,10,12
