id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-82350-616-0,Black,Sarah,f,Rangers,12,9,10
978-0-06-204127-2,Hall,Bethany,f,Comets,11,12,10
978-1-901580-93-8,Walker,Danielle,f,Bears,8,9,8
978-0-364-61441-9,Jacobs,Jamie,m,Bears,8,7,8
978-0-87981-752-7,Walker,Michele,f,Comets,12,8,11
978-0-218-29329-6,Martinez,Luis,m,Rangers,6,6,8
978-0-699-90000-3,Baker,Donald,m,Rangers,9,9,12
978-0-665-09525-2,Gill,Joseph,m,Rangers,12,10,11
978-0-12-943303-3,Warren,Lisa,f,Bears,8,6,8
978-0-10-923693-7,Brown,Joshua,m,Comets,11,7,11
978-1-4215-5854-7,Cooper,Kaitlyn,f,Rangers,8,10,12
978-0-528-22526-0,Dillon,Gloria,f,Bears,8,10,6
978-0-627-22557-4,Bolton,James,m,Comets,7,9,10
978-0-02-316996-0,Valdez,Samuel,m,Rangers,6,10,8
978-1-4483-6575-3,Hebert,Lisa,f,Rangers,9,9,10
978-1-85315-608-3,Watts,April,f,Rangers,8,9,7
978-1-235-30378-4,Compton,Calvin,m,Rangers,10,9,8
978-0-9812867-7-8,Thompson,Patricia,f,Rangers,8,10,9
978-1-4960-9870-2,Norman,Heidi,f,Rangers,12,10,9
978-1-9732-5085-2,Allen,Connie,f,Rangers,12,10,10
978-1-969262-69-2,Leblanc,Craig,m,Comets,10,9,7
978-0-906576-61-8,Tran,Donna,f,Rangers,10,10,9
978-0-8365-0799-7,Price,Joanna,f,Bears,11,9,12
978-0-7036-2958-6,Sanchez,Barbara,f,Rangers,7,7,6
978-0-243-71471-1,Murillo,Tammy,f,Rangers,6,12,7
978-1-121-86957-8,Grimes,Amy,f,Rangers,7,9,7
978-1-00-019014-4,Sanchez,Amber,f,Rangers,7,10,12
978-1-58307-412-1,Harding,Marcus,m,Comets,6,8,8
978-0-8344-2909-3,Acevedo,Alicia,f,Rangers,12,7,11
978-1-258-96654-6,Sanchez,Amber,f,Comets,8,10,9
