id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-63102-014-8,Sosa,Christine,f,Rangers,10,9,10
978-1-02-192325-7,Young,Louis,m,Rangers,10,7,8
978-1-5159-5343-2,Smith,Helen,f,Rangers,9,9,9
978-0-9951055-4-6,Klein,Melissa,f,Explorers,8,9,9
978-0-11-330458-5,Lee,Brian,m,Explorers,9,6,10
978-0-924200-18-2,Fischer,Angela,f,Rangers,9,10,8
978-0-04-346884-5,Willis,Kimberly,f,Explorers,9,10,8
978-1-01-152755-7,Mcintyre,Amanda,f,Explorers,9,8,11
978-1-55223-386-3,White,Douglas,m,Otters,11,12,12
978-0-86686-457-2,Dixon,Trevor,m,Rangers,9,9,9
978-0-489-93830-8,Fields,Phillip,m,Explorers,8,6,8
978-1-331-84095-4,Dickerson,Keith,m,Explorers,9,9,9
978-1-77953-585-6,Taylor,Michael,m,Otters,8,7,10
978-0-268-04483-1,Miller,Ashley,f,Otters,10,6,6
978-1-155-50604-3,Rodriguez,Krystal,f,Otters,10,7,9
978-0-88626-546-5,Jensen,Jessica,f,Explorers,9,9,7
978-1-58098-517-8,Oliver,Autumn,f,Rangers,8,7,10
978-1-66943-440-5,Sloan,Patrick,m,Otters,10,9,12
978-0-554-46422-0,Alvarez,Olivia,f,Otters,9,9,8
978-0-378-07450-6,Lee,Monica,f,Rangers,9,12,9
978-1-368-10403-6,Graves,Susan,f,Explorers,11,12,9
978-1-01-481151-6,Anderson,Valerie,f,Rangers,6,6,9
978-1-160-59520-9,Dunn,Stephanie,f,Rangers,10,8,9
978-1-374-75841-4,Ruiz,Maria,f,Rangers,9,12,11
978-1-05-907377-1,Torres,Russell,m,Explorers,10,9,9
978-1-05-796188-9,Ball,Katrina,f,Rangers,6,8,8
978-0-19-624093-0,Wagner,Heather,f,Otters,10,7,9
978-1-08-874821-3,Brown,Cheryl,f,Rangers,9,7,9
978-1-119-84291-0,Smith,Nicole,f,Rangers,10,10,7
978-0-423-19656-6,Russell,Thomas,m,Rangers,7,11,10
